Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Year
1970-01-01 00:00:00.000002021,Spider-Man: No Way Home,5083.954,8940,popular,Action,1970
1970-01-01 00:00:00.000002021,Spider-Man: No Way Home,5083.954,8940,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Spider-Man: No Way Home,5083.954,8940,popular,Science Fiction,1970
1970-01-01 00:00:00.000002022,The Batman,3827.658,1151,popular,Crime,1970
1970-01-01 00:00:00.000002022,The Batman,3827.658,1151,popular,Mystery,1970
1970-01-01 00:00:00.000002022,The Batman,3827.658,1151,popular,Thriller,1970
1970-01-01 00:00:00.000002022,No Exit,2618.087,122,below_avg,Thriller,1970
1970-01-01 00:00:00.000002021,Encanto,2402.201,5076,popular,Animation,1970
1970-01-01 00:00:00.000002021,Encanto,2402.201,5076,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Encanto,2402.201,5076,popular,Family,1970
1970-01-01 00:00:00.000002021,Encanto,2402.201,5076,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,The King's Man,1895.511,1793,average,Action,1970
1970-01-01 00:00:00.000002021,The King's Man,1895.511,1793,average,Adventure,1970
1970-01-01 00:00:00.000002021,The King's Man,1895.511,1793,average,Thriller,1970
1970-01-01 00:00:00.000002021,The King's Man,1895.511,1793,average,War,1970
1970-01-01 00:00:00.000002022,The Commando,1750.484,33,average,Action,1970
1970-01-01 00:00:00.000002022,The Commando,1750.484,33,average,Crime,1970
1970-01-01 00:00:00.000002022,The Commando,1750.484,33,average,Thriller,1970
1970-01-01 00:00:00.000002022,Scream,1675.161,821,average,Horror,1970
1970-01-01 00:00:00.000002022,Scream,1675.161,821,average,Mystery,1970
1970-01-01 00:00:00.000002022,Scream,1675.161,821,average,Thriller,1970
1970-01-01 00:00:00.000002022,Kimi,1601.782,206,below_avg,Thriller,1970
1970-01-01 00:00:00.000002022,Fistful of Vengeance,1594.013,114,not_popular,Action,1970
1970-01-01 00:00:00.000002022,Fistful of Vengeance,1594.013,114,not_popular,Crime,1970
1970-01-01 00:00:00.000002022,Fistful of Vengeance,1594.013,114,not_popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Eternals,1537.406,4726,popular,Science Fiction,1970
1970-01-01 00:00:00.000002022,Pursuit,1500.523,16,not_popular,Action,1970
1970-01-01 00:00:00.000002022,Pursuit,1500.523,16,not_popular,Crime,1970
1970-01-01 00:00:00.000002022,Pursuit,1500.523,16,not_popular,Thriller,1970
1970-01-01 00:00:00.000002021,My Hero Academia: World Heroes' Mission,1485.064,100,popular,Animation,1970
1970-01-01 00:00:00.000002021,My Hero Academia: World Heroes' Mission,1485.064,100,popular,Action,1970
1970-01-01 00:00:00.000002021,My Hero Academia: World Heroes' Mission,1485.064,100,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,My Hero Academia: World Heroes' Mission,1485.064,100,popular,Adventure,1970
1970-01-01 00:00:00.000002022,Restless,1468.377,107,not_popular,Action,1970
1970-01-01 00:00:00.000002022,Restless,1468.377,107,not_popular,Thriller,1970
1970-01-01 00:00:00.000002022,Restless,1468.377,107,not_popular,Crime,1970
1970-01-01 00:00:00.000002021,Nightmare Alley,1455.144,952,average,Crime,1970
1970-01-01 00:00:00.000002021,Nightmare Alley,1455.144,952,average,Drama,1970
1970-01-01 00:00:00.000002021,Nightmare Alley,1455.144,952,average,Thriller,1970
1970-01-01 00:00:00.000002022,The Ice Age Adventures of Buck Wild,1431.307,737,average,Animation,1970
1970-01-01 00:00:00.000002022,The Ice Age Adventures of Buck Wild,1431.307,737,average,Comedy,1970
1970-01-01 00:00:00.000002022,The Ice Age Adventures of Buck Wild,1431.307,737,average,Adventure,1970
1970-01-01 00:00:00.000002022,The Ice Age Adventures of Buck Wild,1431.307,737,average,Family,1970
1970-01-01 00:00:00.000002022,Hotel Transylvania: Transformania,1373.778,288,average,Animation,1970
1970-01-01 00:00:00.000002022,Hotel Transylvania: Transformania,1373.778,288,average,Family,1970
1970-01-01 00:00:00.000002022,Hotel Transylvania: Transformania,1373.778,288,average,Fantasy,1970
1970-01-01 00:00:00.000002022,Hotel Transylvania: Transformania,1373.778,288,average,Comedy,1970
1970-01-01 00:00:00.000002022,Hotel Transylvania: Transformania,1373.778,288,average,Adventure,1970
1970-01-01 00:00:00.000002022,Texas Chainsaw Massacre,1312.79,521,not_popular,Horror,1970
1970-01-01 00:00:00.000002022,The Requin,1252.317,65,not_popular,Thriller,1970
1970-01-01 00:00:00.000002022,Looop Lapeta,1240.946,31,below_avg,Action,1970
1970-01-01 00:00:00.000002022,Looop Lapeta,1240.946,31,below_avg,Comedy,1970
1970-01-01 00:00:00.000002022,Looop Lapeta,1240.946,31,below_avg,Crime,1970
1970-01-01 00:00:00.000002021,Red Notice,1178.544,3193,average,Action,1970
1970-01-01 00:00:00.000002021,Red Notice,1178.544,3193,average,Comedy,1970
1970-01-01 00:00:00.000002021,Red Notice,1178.544,3193,average,Crime,1970
1970-01-01 00:00:00.000002021,Red Notice,1178.544,3193,average,Thriller,1970
1970-01-01 00:00:00.000002021,Sing 2,1112.9,2172,popular,Animation,1970
1970-01-01 00:00:00.000002021,Sing 2,1112.9,2172,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Sing 2,1112.9,2172,popular,Family,1970
1970-01-01 00:00:00.000002021,Sing 2,1112.9,2172,popular,Music,1970
1970-01-01 00:00:00.000002022,The Jack in the Box: Awakening,1096.79,43,not_popular,Horror,1970
1970-01-01 00:00:00.000002021,Venom: Let There Be Carnage,1053.615,6539,average,Science Fiction,1970
1970-01-01 00:00:00.000002021,Venom: Let There Be Carnage,1053.615,6539,average,Action,1970
1970-01-01 00:00:00.000002021,Venom: Let There Be Carnage,1053.615,6539,average,Adventure,1970
1970-01-01 00:00:00.000002021,The Matrix Resurrections,941.024,3160,average,Science Fiction,1970
